Rank:6, Columns:10
[1, -1, 0, 0, -1, 0, 0, 0, -1, 0] -7
[0, 0, 0, 0, 0, -1, 0, 0, 0, 0] -1
[1, 0, -1, 0, 0, 0, -1, 0, 0, 0] -1
[1, 0, 0, -1, 0, 0, 0, -1, 0, -1] -4
[0, 0, 1, 1, -1, 0, 0, 0, -1, 0] -3
[-1, 1, 1, 1, 0, -1, 0, 0, 0, 0] 3
[0, 1, 0, 1, 0, 0, -1, 0, 0, 0] 3
[0, 1, 1, 0, 0, 0, 0, -1, 0, -1] 0
[0, -1, 0, 0, 0, 1, 1, 1, -1, 0] 1
[-1, 0, 0, 0, 1, 0, 1, 1, 0, 0] 7
[0, 0, -1, 0, 1, 1, 0, 1, 0, 0] 7
[0, 0, 0, -1, 1, 1, 1, 0, 0, -1] 4
[0, -1, 0, 0, -1, 0, 0, 0, 0, 1] -6
[-1, 0, 0, 0, 0, -1, 0, 0, 1, 1] 0
[0, 0, -1, 0, 0, 0, -1, 0, 1, 1] 0
[0, 0, 0, -1, 0, 0, 0, -1, 1, 0] -3
